,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
111272,1025920073159110657,52941,111272,troy,rod,love,know,,,,ohio,ohio,,,not_know,not_love,troy not_love ohio,rod not_love ohio
111292,1025834673736482817,52949,111292,china time poorly,china,spending,drop,,,,ad pr,ad,,,not_drop,not_spending,china time poorly not_spending ad pr,china not_spending ad
111293,1025834673736482817,52949,111293,china time poorly,china,try,try,,,,convince scare politician fight tariff,classify information,,,not_try,not_try,china time poorly not_try convince scare politician fight tariff,china not_try classify information
111294,1025834673736482817,52949,111294,china time poorly,china,convince,convince,,,,politician,politician,fight tariff,tax,not_convince,not_convince,china time poorly not_convince politician,china not_convince politician
111295,1025834673736482817,52949,111295,china time poorly,china,scare,scare,,,,politician,politician,fight,fight,not_scare,not_scare,china time poorly not_scare politician,china not_scare politician
111306,1025833273191264256,52953,111306,tariff,tax,,,,,,country richer today,country,,,not_,not_,tariff not_ country richer today,tax not_ country
111320,1025832084521119745,52958,111320,tariff,tax,,,,,,tremendous positive impact steel industry,economy,,,not_,not_,tariff not_ tremendous positive impact steel industry,tax not_ economy
111327,1025832084521119745,52960,111327,country,country,use,use,,,,tariff,tax,,,not_use,not_use,country not_use tariff,country not_use tax
111344,1025728712560594946,52966,111344,troy balderson,omarosa,run,work,,,,congress ohio,ohio,,,not_work,not_run,troy balderson not_run congress ohio,omarosa not_run ohio
111350,1025728712560594946,52966,111350,candidate,campaign,want,want,,,,raise tax,tax,,,not_want,not_want,candidate not_want raise tax,campaign not_want tax
111359,1025725493373558784,52970,111359,troy,rod,love,know,,,,military vet amp nd,military,,,not_know,not_love,troy not_love military vet amp nd,rod not_love military
111362,1025586524782559232,52972,111362,dumbest man television don lemon,medium,interviewed,interviewed,,,,lebron james,rod,,,not_interviewed,not_interviewed,dumbest man television don lemon not_interviewed lebron james,medium not_interviewed rod
111364,1025586524782559232,52973,111364,lebron,rod,look,look,,,,smart,smart,,,not_look,not_look,lebron not_look smart,rod not_look smart
111370,1025584134322892800,52976,111370,person,right,lead,run,,,,nation,world,collusion russia dems,dems,not_run,not_lead,person not_lead nation,right not_lead world
111377,1025577505615503360,52980,111377,people disgrace,disgrace,start,start,,,,hoax witch hunt,witch hunt,,,not_start,not_start,people disgrace not_start hoax witch hunt,disgrace not_start witch hunt
111396,1025512396654346251,52990,111396,nasa,plane,,,,,,big comeback,advantage,,,not_,not_,nasa not_ big comeback,plane not_ advantage
111398,1025512396654346251,52990,111398,nasa big comeback trump administration,administration,,,,,,astronaut boeing spacex space flight,plane,,,not_,not_,nasa big comeback trump administration not_ astronaut boeing spacex space flight,administration not_ plane
111409,1025504226204680192,52995,111409,economy,economy,add,bring,,,,million job,million,,,not_bring,not_add,economy not_add million job,economy not_add million
111413,1025504226204680192,52997,111413,million people,million,receive,find,,,,pay raise,tax,,,not_find,not_receive,million people not_receive pay raise,million not_receive tax
111416,1025501727989145601,53000,111416,marsha blackburn,james comey,,,,,,big win,win,,,not_,not_,marsha blackburn not_ big win,james comey not_ win
111424,1025479385338597377,53004,111424,pastor,james comey,praise,praise,,,,trump,trump,pro black,leader,not_praise,not_praise,pastor not_praise trump,james comey not_praise trump
111430,1025386253892694016,53008,111430,bill,law,,,,,,total enthusiastic endorsement,smart,,,not_,not_,bill not_ total enthusiastic endorsement,law not_ smart
111449,1025093306664009728,53019,111449,house senate,house,meet,play,,,,important farm bill,city,,,not_play,not_meet,house senate not_meet important farm bill,house not_meet city
111454,1025093306664009728,53019,111454,house,house,approve,approve,,,,work requirement food stamp provision,sanction,,,not_approve,not_approve,house not_approve work requirement food stamp provision,house not_approve sanction
111458,1025092714839371782,53021,111458,pennsylvania,pennsylvania,love,know,,,,trump,trump,,,not_know,not_love,pennsylvania not_love trump,pennsylvania not_love trump
111463,1025092714839371782,53022,111463,congressman lou barletta,comey,run,work,,,,senate,senate,,,not_work,not_run,congressman lou barletta not_run senate,comey not_run senate
111474,1025092358126362630,53025,111474,lou,rosie,love,know,,,,pa country,country,,,not_know,not_love,lou not_love pa country,rosie not_love country
111476,1025090307187257344,53026,111476,congressman steve stivers ohio,ohio,,,,,,fantastic job chairman nrcc,jeb,,,not_,not_,congressman steve stivers ohio not_ fantastic job chairman nrcc,ohio not_ jeb
111493,1024967606577573891,53035,111493,charles koch koch brother,james comey,claim,claim,,,,away million dollar politician know,people,,,not_claim,not_claim,charles koch koch brother not_claim away million dollar politician know,james comey not_claim people
111499,1024967606577573891,53035,111499,charles koch koch brother claim away million dollar politician know,james comey,,,,,,ridiculous statement president trump unfair foreign worker,trump,,,not_,not_,charles koch koch brother claim away million dollar politician know not_ ridiculous statement president trump unfair foreign worker,james comey not_ trump
111523,1024860399458508800,53047,111523,vice president mike penny,president,deliver,save,,,,truly magnificent tribute,fantastic,,,not_save,not_deliver,vice president mike penny not_deliver truly magnificent tribute,president not_deliver fantastic
111524,1024765763775815695,53048,111524,private,money,boom,expand,,,,payroll,tax,,,not_expand,not_boom,private not_boom payroll,money not_boom tax
111534,1024685313778741250,53052,111534,campaign,campaign,,,,,,dirt,wall,opponent,campaign,not_,not_,campaign not_ dirt,campaign not_ wall
111537,1024685313778741250,53053,111537,hillary clinton,clinton,seek,try,,,,dirt russian,russian,,,not_try,not_seek,hillary clinton not_seek dirt russian,clinton not_seek russian
111538,1024685313778741250,53053,111538,trump campaign,trump,met,play,,,,russian request,russian,,,not_play,not_met,trump campaign not_met russian request,trump not_met russian
111544,1024680095343108097,53055,111544,alfonse capone legendary mob bos killer public enemy number paul manafort political operative amp reagan dole darling,jeb,serve,help,,,,solitary confinement,crime,,,not_help,not_serve,alfonse capone legendary mob bos killer public enemy number paul manafort political operative amp reagan dole darling not_serve solitary confinement,jeb not_serve crime
111548,1024676935065120768,53057,111548,campaign,campaign,,,,,,dirt,wall,opponent,campaign,not_,not_,campaign not_ dirt,campaign not_ wall
111551,1024676935065120768,53058,111551,hillary clinton,clinton,seek,try,,,,dirt russian,russian,,,not_try,not_seek,hillary clinton not_seek dirt russian,clinton not_seek russian
111552,1024676935065120768,53058,111552,trump campaign,trump,met,play,,,,russian request,russian,,,not_play,not_met,trump campaign not_met russian request,trump not_met russian
111565,1024649463435067398,53065,111565,government,government,tell,tell,True,True,,investigation,case,,,tell,tell,government tell investigation,government tell case
111567,1024649463435067398,53066,111567,old charge,people,,,,,,collusion hoax,collusion,,,not_,not_,old charge not_ collusion hoax,people not_ collusion
111572,1024646945640525826,53068,111572,attorney general jeff session,john,stop,stop,,,,rig witch hunt,witch hunt,,,not_stop,not_stop,attorney general jeff session not_stop rig witch hunt,john not_stop witch hunt
111578,1024646945640525826,53069,111578,angry democrat,democrat,,,,,,dirty work,crazy,,,not_,not_,angry democrat not_ dirty work,democrat not_ crazy
111588,1024644767924334593,53072,111588,mueller,mueller,protect,protect,,,,guy,thing,,,not_protect,not_protect,mueller not_protect guy,mueller not_protect thing
111589,1024644767924334593,53073,111589,mueller,mueller,,,,,,interest create illusion objectivity investigation,credibility,,,not_,not_,mueller not_ interest create illusion objectivity investigation,mueller not_ credibility
111590,1024644767924334593,53073,111590,mueller,mueller,create,create,,,,illusion objectivity investigation,credibility,,,not_create,not_create,mueller not_create illusion objectivity investigation,mueller not_create credibility
111606,1024394107404279808,53082,111606,worker pay rate,tax,hit,hit,,,,high level,interest,,,not_hit,not_hit,worker pay rate not_hit high level,tax not_hit interest
111619,1024347406887014404,53086,111619,democrat,democrat,allow,let,,,,fix government shutdown,disaster,,,not_let,not_allow,democrat not_allow fix government shutdown,democrat not_allow disaster
111629,1024342307624103937,53088,111629,great people wyoming,great,,,,,,support,money,,,not_,not_,great people wyoming not_ support,great not_ money
111631,1024342307624103937,53089,111631,john,john,,,,,,complete amp total endorsement,money,,,not_,not_,john not_ complete amp total endorsement,john not_ money
111636,1024341376509599745,53091,111636,david,john,love,know,,,,military vet second amendment,military,,,not_know,not_love,david not_love military vet second amendment,john not_love military
111677,1024248479386923009,53107,111677,democrat,democrat,want,want,,,,open border,border,,,not_want,not_want,democrat not_want open border,democrat not_want border
111704,1024096373917016064,53122,111704,highly respect federal judge,case,state,tell,,,,trump administration great credit reunite illegal family,administration,,,not_tell,not_state,highly respect federal judge not_state trump administration great credit reunite illegal family,case not_state administration
111705,1024096373917016064,53122,111705,trump administration,administration,,,,,,great credit,great,,,not_,not_,trump administration not_ great credit,administration not_ great
111706,1024096373917016064,53122,111706,trump administration,administration,reunite,reunite,,,,illegal family,illegal immigrant,,,not_reunite,not_reunite,trump administration not_reunite illegal family,administration not_reunite illegal immigrant
111711,1024061082640502785,53126,111711,vote,vote,mean,think,,,,lot love country,country,,,not_think,not_mean,vote not_mean lot love country,vote not_mean country
111722,1024060658072076295,53129,111722,world,world,laugh,laugh,,,,stupidity immigration law,disgrace,,,not_laugh,not_laugh,world not_laugh stupidity immigration law,world not_laugh disgrace
111730,1024059143110451205,53134,111730,troybalderson ohio,ohio,run,work,,,,congress,congress,,,not_work,not_run,troybalderson ohio not_run congress,ohio not_run congress
111732,1024059143110451205,53135,111732,troy,rod,love,know,,,,military vet second amendment,military,,,not_know,not_love,troy not_love military vet second amendment,rod not_love military
111751,1023664624259014656,53145,111751,mueller,mueller,appoint,charge,,,,angry dems work crooked hillary,crooked hillary,,,not_charge,not_appoint,mueller not_appoint angry dems work crooked hillary,mueller not_appoint crooked hillary
111758,1023664624259014656,53146,111758,mueller,mueller,look,look,True,True,,criminal activity amp real russian collusion democrat,russian,,,look,look,mueller look criminal activity amp real russian collusion democrat,mueller look russian
111761,1023662510371741696,53147,111761,robert mueller,mueller,release,release,,,,conflict interest respect president trump include fact nasty amp contentious business relationship turn head fbi day appointment sc amp comey close friend,fbi,,,not_release,not_release,robert mueller not_release conflict interest respect president trump include fact nasty amp contentious business relationship turn head fbi day appointment sc amp comey close friend,mueller not_release fbi
111768,1023653191974625280,53149,111768,increase include obama white house lawyer,house,head,lead,,,,robert mueller rig witch hunt,mueller,,,not_lead,not_head,increase include obama white house lawyer not_head robert mueller rig witch hunt,house not_head mueller
111772,1023653191974625280,53150,111772,fraudulent dossier paid crooked hillary dnc,dnc,start,start,,,,angry democrat,democrat,,,not_start,not_start,fraudulent dossier paid crooked hillary dnc not_start angry democrat,dnc not_start democrat
111773,1023653191974625280,53150,111773,crooked hillary dnc,dnc,paid,pay,,,,fraudulent dossier,collusion,,,not_pay,not_paid,crooked hillary dnc not_paid fraudulent dossier,dnc not_paid collusion
111777,1023646669685104641,53153,111777,amazon washington post,washington,write,save,,,,bad story,story,,,not_save,not_write,amazon washington post not_write bad story,washington not_write story
111785,1023646668179296257,53155,111785,country,country,,,,,,great progress,great,,,not_,not_,country not_ great progress,country not_ great
111798,1023646665851449345,53159,111798,anti trump hater,trump,sell,sell,,,,great country,country,,,not_sell,not_sell,anti trump hater not_sell great country,trump not_sell country
111799,1023646663590797312,53160,111799,trump derangement syndrome,trump,driven,force,,,,medium,medium,,,not_force,not_driven,trump derangement syndrome not_driven medium,trump not_driven medium
111800,1023646663590797312,53160,111800,medium driven insane trump derangement syndrome,trump,reveals,expose,,,,internal deliberation government,careful,,,not_expose,not_reveals,medium driven insane trump derangement syndrome not_reveals internal deliberation government,trump not_reveals careful
111827,1023546197129224192,53168,111827,medium,medium,,,,,,fake news,fake news,,,not_,not_,medium not_ fake news,medium not_ fake news
111833,1023538164298858497,53170,111833,people,people,cross,cover,,,,border,border,,,not_cover,not_cross,people not_cross border,people not_cross border
111838,1023538164298858497,53171,111838,congress,congress,act,work,,,,fix dumbest amp bad immigration law world,hater loser,,,not_work,not_act,congress not_act fix dumbest amp bad immigration law world,congress not_act hater loser
111839,1023538164298858497,53171,111839,congress,congress,fix,set,,,,dumbest amp bad immigration law,hater loser,,,not_set,not_fix,congress not_fix dumbest amp bad immigration law,congress not_fix hater loser
111844,1023536822901776384,53173,111844,fake news medium,fake news,report,report,,,,tweet michael,james comey,,,not_report,not_report,fake news medium not_report tweet michael,fake news not_report james comey
111862,1023007120130760704,53182,111862,democrat,democrat,,,,,,thing,thing,,,not_,not_,democrat not_ thing,democrat not_ thing
111865,1023007120130760704,53183,111865,cryin chuck schumer,hater loser,,,,,,great american people wait forever serve country,country,,,not_,not_,cryin chuck schumer not_ great american people wait forever serve country,hater loser not_ country
111871,1023007120130760704,53185,111871,mitch,jeb,let,prevent,True,,,home approve,second amendment,,,not_prevent,let,mitch let home approve,jeb let second amendment
111874,1022976410745495552,53186,111874,democrat,democrat,want,want,,,,open border,border,,,not_want,not_want,democrat not_want open border,democrat not_want border
111875,1022976410745495552,53186,111875,democrat,democrat,care,like,,,,crime,crime,,,not_like,not_care,democrat not_care crime,democrat not_care crime
111882,1022936690267176971,53188,111882,david,john,love,know,,,,military vet second amendment,military,,,not_know,not_love,david not_love military vet second amendment,john not_love military
111912,1022873937561243649,53196,111912,troybalderson ohio,ohio,run,work,,,,congress,congress,,,not_work,not_run,troybalderson ohio not_run congress,ohio not_run congress
111915,1022873937561243649,53198,111915,troy,rod,love,know,,,,military vet second amendment,military,,,not_know,not_love,troy not_love military vet second amendment,rod not_love military
111919,1022872576211730432,53201,111919,john,john,love,know,,,,military vet second amendment,military,,,not_know,not_love,john not_love military vet second amendment,john not_love military
111956,1022808452677160960,53219,111956,fake news,fake news,waste,waste,True,True,,time,people,dumb question,crazy,waste,waste,fake news waste time,fake news waste people
111961,1022805381440069632,53220,111961,highly conflict robert mueller gang angry democrat,mueller,find,lose,True,,,collusion,collusion,,,not_lose,find,highly conflict robert mueller gang angry democrat find collusion,mueller find collusion
111968,1022690767305928704,53223,111968,remains american serviceman,american,leave,allow,,,,north korea,north korea,,,not_allow,not_leave,remains american serviceman not_leave north korea,american not_leave north korea
111969,1022690767305928704,53223,111969,remains american serviceman,american,head,lead,,,,united state,state,,,not_lead,not_head,remains american serviceman not_head united state,american not_head state
111982,1022614701665148934,53228,111982,alandersh brilliant lawyer liberal democrat probably nt vote,vote,discuss,discuss,,,,witch hunt,witch hunt,,,not_discuss,not_discuss,alandersh brilliant lawyer liberal democrat probably nt vote not_discuss witch hunt,vote not_discuss witch hunt
111988,1022502465147682817,53232,111988,united state,state,impose,visit,,,,large sanction,sanction,turkey,turkey,not_visit,not_impose,united state not_impose large sanction,state not_impose sanction
112000,1022447980408983552,53238,112000,twitter shadow,hell,ban,ban,,,,prominent republican,republican,,,not_ban,not_ban,twitter shadow not_ban prominent republican,hell not_ban republican
112005,1022287249432563712,53242,112005,european union representative,world,told,told,,,,start buying soybean great farmer immediately,great,,,not_told,not_told,european union representative not_told start buying soybean great farmer immediately,world not_told great
112067,1022248383531163648,53264,112067,nation,world,support,stand,,,,religious freedom,god,,,not_stand,not_support,nation not_support religious freedom,world not_support god
112070,1022224319336726528,53266,112070,united state european union,state,,,,,,trillion bilateral trade relationship large economic relationship world,deal,,,not_,not_,united state european union not_ trillion bilateral trade relationship large economic relationship world,state not_ deal
112077,1022099454005051392,53270,112077,opponent,campaign,love,know,,,,crime,crime,,,not_know,not_love,opponent not_love crime,campaign not_love crime
112079,1022099454005051392,53270,112079,democrat,democrat,,,,,,open border crime love opponent,border,,,not_,not_,democrat not_ open border crime love opponent,democrat not_ border
112083,1022097879253635072,53273,112083,kind lawyer,thing,tape,record,,,,client,case,,,not_record,not_tape,kind lawyer not_tape client,thing not_tape case
112100,1022079127799701504,53279,112100,china,china,target,target,,,,farmer know love amp respect,politician,,,not_target,not_target,china not_target farmer know love amp respect,china not_target politician
112114,1022079127799701504,53282,112114,china,china,,,,,,billion,million,,,not_,not_,china not_ billion,china not_ million
112118,1022076157884342272,53283,112118,deal,deal,,,,,,longer,help,,,not_,not_,deal not_ longer,deal not_ help
112131,1022074252999225344,53286,112131,weak politician,leader,ask,need,,,,stop trade talk use tariff counter unfair tariff,fight,,,not_need,not_ask,weak politician not_ask stop trade talk use tariff counter unfair tariff,leader not_ask fight
112132,1022074252999225344,53286,112132,weak politician,leader,stop,stop,,,,trade talk,deal,,,not_stop,not_stop,weak politician not_stop trade talk,leader not_stop deal
112152,1021917767467982854,53294,112152,fcc,sanction,approve,disapprove,True,,,sinclair broadcast merger tribune,press,,,not_disapprove,approve,fcc approve sinclair broadcast merger tribune,sanction approve press
112174,1021886118315393024,53303,112174,men woman,family,,,,,,freedom possible,right,,,not_,not_,men woman not_ freedom possible,family not_ right
112177,1021884006869204992,53305,112177,congress,congress,reauthorize,reauthorize,,,,american workforce remains strong,american,,,not_reauthorize,not_reauthorize,congress not_reauthorize american workforce remains strong,congress not_reauthorize american
112178,1021884006869204992,53305,112178,congress,congress,ensure,check,,,,american workforce remains strong,american,,,not_check,not_ensure,congress not_ensure american workforce remains strong,congress not_ensure american
112186,1021784726217142273,53307,112186,russia,russia,fight,fight,,,,impact upcoming election,day,,,not_fight,not_fight,russia not_fight impact upcoming election,russia not_fight day
112187,1021784726217142273,53307,112187,russia,russia,,,,,,impact upcoming election,day,,,not_,not_,russia not_ impact upcoming election,russia not_ day
112213,1021719098265362432,53320,112213,country,country,treat,treat,,,,united state,state,unfairly trade,classify information,not_treat,not_treat,country not_treat united state,country not_treat state
112214,1021719098265362432,53320,112214,country treat united state unfairly trade,country,negotiates,negotiate,,,,fair deal,careful,,,not_negotiate,not_negotiates,country treat united state unfairly trade not_negotiates fair deal,country not_negotiates careful
112242,1021569559537610752,53332,112242,robert,james comey,,,,,,great job vet,great,,,not_,not_,robert not_ great job vet,james comey not_ great
112246,1021388295618682881,53335,112246,paper,letter,loses,lose,,,,fortune lobbyist,politician,,,not_lose,not_loses,paper not_loses fortune lobbyist,letter not_loses politician
112260,1021380986452545537,53339,112260,north korea,north korea,launch,abolish,True,,,rocket,gun,,,not_abolish,launch,north korea launch rocket,north korea launch gun
112265,1021380986452545537,53342,112265,fake news,fake news,,,,,,angry fast,fight,,,not_,not_,fake news not_ angry fast,fake news not_ fight
112272,1021370601863294977,53344,112272,fake news,fake news,talk,talk,,,,meeting president putin,president,,,not_talk,not_talk,fake news not_talk meeting president putin,fake news not_talk president
112293,1021349516878974977,53352,112293,doj fbi obama gang,fbi,need,want,,,,held account,people,,,not_want,not_need,doj fbi obama gang not_need held account,fbi not_need people
112311,1021347230022807552,53357,112311,warrant,case,target,target,,,,trump team,trump,,,not_target,not_target,warrant not_target trump team,case not_target trump
112341,1021158915206152193,53373,112341,president obama,obama,knew,know,,,,russia,russia,,,not_know,not_knew,president obama not_knew russia,obama not_knew russia
112354,1021020863733420032,53378,112354,fake news,fake news,use,use,,,,bit energy,thing,try disparage,classify information,not_use,not_use,fake news not_use bit energy,fake news not_use thing
112359,1021016070134648833,53381,112359,democrat,democrat,paid,pay,,,,dirty dossier,whistleblower,,,not_pay,not_paid,democrat not_paid dirty dossier,democrat not_paid whistleblower
112362,1021016070134648833,53381,112362,information,system,discredit,discredit,,,,candidate trump,trump,,,not_discredit,not_discredit,information not_discredit candidate trump,system not_discredit trump
112372,1021007656511852544,53384,112372,judge,case,sign,sign,,,,stuff,thing,,,not_sign,not_sign,judge not_sign stuff,case not_sign thing
112393,1020978929736265729,53392,112393,department justice fbi,fbi,mislead,mislead,,,,court,case,,,not_mislead,not_mislead,department justice fbi not_mislead court,fbi not_mislead case
112399,1020811550771294211,53397,112399,troy balderson ohio,ohio,run,work,,,,congress,congress,,,not_work,not_run,troy balderson ohio not_run congress,ohio not_run congress
112402,1020811550771294211,53398,112402,troy,rod,love,know,,,,military vet amp nd amendment,military,,,not_know,not_love,troy not_love military vet amp nd amendment,rod not_love military
112404,1020811550771294211,53400,112404,troy,rod,,,,,,amp total endorsement,campaign,,,not_,not_,troy not_ amp total endorsement,rod not_ campaign
112406,1020808378594054144,53401,112406,brian kemp,john,run,work,,,,governor georgia,georgia,,,not_work,not_run,brian kemp not_run governor georgia,john not_run georgia
112407,1020808378594054144,53401,112407,brian kemp,john,,,,,,endorsement,campaign,,,not_,not_,brian kemp not_ endorsement,john not_ campaign
112414,1020805795880013825,53404,112414,brian kemp,john,run,work,,,,governor georgia,georgia,,,not_work,not_run,brian kemp not_run governor georgia,john not_run georgia
112415,1020805795880013825,53404,112415,brian kemp,john,,,,,,endorsement,campaign,,,not_,not_,brian kemp not_ endorsement,john not_ campaign
112424,1020803264617615360,53407,112424,angry democrat,democrat,protect,protect,,,,democrat,democrat,,,not_protect,not_protect,angry democrat not_protect democrat,democrat not_protect democrat
112425,1020803264617615360,53407,112425,angry democrat republican totally protect democrat,republican,want,want,,,,witch hunt drag november election,witch hunt,,,not_want,not_want,angry democrat republican totally protect democrat not_want witch hunt drag november election,republican not_want witch hunt
112431,1020800615226793986,53409,112431,angry democrat,democrat,head,lead,,,,rig witch hunt,witch hunt,,,not_lead,not_head,angry democrat not_head rig witch hunt,democrat not_head witch hunt
112437,1020800615226793986,53409,112437,rig witch hunt head angry democrat add work directly obama wh,witch hunt,damage,damage,,,,republican party chance,republican party,,,not_damage,not_damage,rig witch hunt head angry democrat add work directly obama wh not_damage republican party chance,witch hunt not_damage republican party
112441,1020642287725043712,53411,112441,government,government,break,stop,,,,lawyer office,case,,,not_stop,not_break,government not_break lawyer office,government not_break case
112443,1020642287725043712,53412,112443,lawyer,case,tape,record,,,,client totally unheard amp illegal,sanction,,,not_record,not_tape,lawyer not_tape client totally unheard amp illegal,case not_tape sanction
112445,1020642287725043712,53413,112445,favorite president,story,,,,,,wrong,thing,,,not_,not_,favorite president not_ wrong,story not_ thing
112452,1020432499082702849,53416,112452,commissioner,government,,,,,,stand,help,,,not_,not_,commissioner not_ stand,government not_ help
112481,1020293430398935040,53430,112481,canada,canada,charge,send,,,,dairy,medium,,,not_send,not_charge,canada not_charge dairy,canada not_charge medium
112505,1020287981020729344,53437,112505,china european union,china,manipulate,rig,,,,currency interest rate low,million,,,not_rig,not_manipulate,china european union not_manipulate currency interest rate low,china not_manipulate million
112520,1019938748413435910,53444,112520,trump,trump,recognize,know,,,,russian meddling time,russian,,,not_know,not_recognize,trump not_recognize russian meddling time,trump not_recognize russian
112535,1019932691339399168,53450,112535,european union,world,slap,slap,,,,billion dollar fine,million,great company google,great,not_slap,not_slap,european union not_slap billion dollar fine,world not_slap million
112538,1019903123312308224,53452,112538,trump,trump,recognize,know,,,,russian meddling time,russian,,,not_know,not_recognize,trump not_recognize russian meddling time,trump not_recognize russian
112541,1019903123312308224,53454,112541,fake news,fake news,want,want,,,,narrative,story,,,not_want,not_want,fake news not_want narrative,fake news not_want story
112547,1019899507910283264,53456,112547,fake news medium,fake news,want,want,,,,major confrontation russia confrontation lead war,russia,,,not_want,not_want,fake news medium not_want major confrontation russia confrontation lead war,fake news not_want russia
112548,1019899507910283264,53456,112548,fake news medium,fake news,,,,,,major confrontation russia confrontation lead war,russia,,,not_,not_,fake news medium not_ major confrontation russia confrontation lead war,fake news not_ russia
112554,1019899507910283264,53457,112554,ill,care,,,,,,good relationship putin,president,,,not_,not_,ill not_ good relationship putin,care not_ president
112567,1019891915402203139,53464,112567,democrat,democrat,,,,,,death wish,family,,,not_,not_,democrat not_ death wish,democrat not_ family
112572,1019891915402203139,53466,112572,republican,republican,pass,happen,,,,bill support ice,global warm,,,not_happen,not_pass,republican not_pass bill support ice,republican not_pass global warm
112573,1019891915402203139,53466,112573,bill,law,support,stand,,,,ice,global warm,,,not_stand,not_support,bill not_support ice,law not_support global warm
112575,1019890400029499393,53467,112575,novartis,company,increase,decrease,True,,,price prescription drug,care,,,not_decrease,increase,novartis increase price prescription drug,company increase care
112581,1019757603570806785,53470,112581,turkey,turkey,release,hold,True,,,respect pastor andrew brunson,comey,prison,crime,not_hold,release,turkey release respect pastor andrew brunson,turkey release comey
112601,1019664477162278918,53480,112601,brian kemp,john,run,work,,,,governor great state georgia,great state,,,not_work,not_run,brian kemp not_run governor great state georgia,john not_run great state
112614,1019544304853966853,53487,112614,people,people,hate,hate,,,,fact president putin russia,russia,,,not_hate,not_hate,people not_hate fact president putin russia,people not_hate russia
112620,1019538038651871233,53490,112620,lot democrat,democrat,wish,like,,,,vote tax cut,vote,,,not_like,not_wish,lot democrat not_wish vote tax cut,democrat not_wish vote
112626,1019538038651871233,53490,112626,fed,fed,,,,,,unemployment drop,interest,,,not_,not_,fed not_ unemployment drop,fed not_ interest
112639,1019526399542091776,53496,112639,russia,russia,agree,agree,,,,help north korea relationship good process,north korea,,,not_agree,not_agree,russia not_agree help north korea relationship good process,russia not_agree north korea
112640,1019526399542091776,53496,112640,russia,russia,help,help,,,,north korea relationship good process,north korea,,,not_help,not_help,russia not_help north korea relationship good process,russia not_help north korea
112650,1019524328927453184,53499,112650,member country,country,,,,,,billion dollar,million,,,not_,not_,member country not_ billion dollar,country not_ million
112656,1019520574371123200,53501,112656,people high end intelligence,whistleblower,love,know,,,,press conference performance helsinki,world,,,not_know,not_love,people high end intelligence not_love press conference performance helsinki,whistleblower not_love world
112657,1019520574371123200,53502,112657,putin,president,discuss,discuss,,,,important subject,question,,,not_discuss,not_discuss,putin not_discuss important subject,president not_discuss question
112660,1019520574371123200,53503,112660,hater,hater loser,want,want,,,,boxing match,winner,,,not_want,not_want,hater not_want boxing match,hater loser not_want winner
112667,1019434161889796097,53506,112667,donald trump,donald trump,,,,,,exactly candidate effective president successful president modern american history,american,,,not_,not_,donald trump not_ exactly candidate effective president successful president modern american history,donald trump not_ american
112672,1019378119671730176,53508,112672,democrat,democrat,want,want,,,,abolish ice mean crime country,country,,,not_want,not_want,democrat not_want abolish ice mean crime country,democrat not_want country
112673,1019378119671730176,53508,112673,democrat,democrat,abolish,abolish,,,,ice,global warm,,,not_abolish,not_abolish,democrat not_abolish ice,democrat not_abolish global warm
112702,1019218575691837443,53520,112702,medium,medium,,,,,,rude leader mention money,crazy,,,not_,not_,medium not_ rude leader mention money,medium not_ crazy
112704,1019218575691837443,53520,112704,medium,medium,mention,mention,True,True,,money,money,,,mention,mention,medium mention money,medium mention money
112736,1018731223890481153,53533,112736,president obama,obama,thought,think,,,,crooked hillary win election,win,,,not_think,not_thought,president obama not_thought crooked hillary win election,obama not_thought win
112739,1018731223890481153,53533,112739,crooked hillary,crooked hillary,win,win,,,,election,election,,,not_win,not_win,crooked hillary not_win election,crooked hillary not_win election
112757,1018727890345693184,53536,112757,medium,medium,cover,continue,,,,truly great summit,great,,,not_continue,not_cover,medium not_cover truly great summit,medium not_cover great
112759,1018541464416997376,53538,112759,france,france,played,work,,,,extraordinary soccer,team,,,not_work,not_played,france not_played extraordinary soccer,france not_played team
112761,1018541464416997376,53539,112761,president putin russia,russia,,,,,,truly great world cup tournament best,great,,,not_,not_,president putin russia not_ truly great world cup tournament best,russia not_ great
112777,1018530167902228480,53546,112777,russia,russia,commit,send,,,,sin evil,hell,,,not_send,not_commit,russia not_commit sin evil,russia not_commit hell
112788,1018528420093878272,53548,112788,fake news,fake news,talk,talk,True,True,,wonderful fact,fantastic,,,talk,talk,fake news talk wonderful fact,fake news talk fantastic
112791,1018197842559725569,53551,112791,russian individual,russian,,,,,,work,people,,,not_,not_,russian individual not_ work,russian not_ people
112801,1018197842559725569,53554,112801,fake news,fake news,want,want,True,True,,report truth usual,question,,,want,want,fake news want report truth usual,fake news want question
112802,1018197842559725569,53554,112802,fake news,fake news,report,report,,,,truth,right,,,not_report,not_report,fake news not_report truth,fake news not_report right
112817,1018096402520518656,53558,112817,exactly,thing,,,,,,win election way amp electoral college,win,,,not_,not_,exactly not_ win election way amp electoral college,thing not_ win
